Meal_Id,Name,catagory,Veg_Non,Nutrient,Disease,Diet,Review
meal_id133,keto fried rice r,rice,veg,carbohydrates, heart_disease goitre rickets diabeties kidney_disease cancer, ketogenic_diet high_protien_diet vegan_diet alkaline_diet,3
meal_id134,butter chicken biryani r,biryani,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,4
meal_id135,coriander burnt garlic rice r,rice,veg,carbohydrates, heart_disease goitre rickets diabeties kidney_disease cancer, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,8
meal_id136,soybean and baby potatoes biryani r,biryani,veg,carbohydrates, pregnancy hypertension heart_disease obesity, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,1
meal_id34,chilli cheese garlic paratha r,paratha,veg,calcium, obesity heart_disease diabeties kidney_disease cancer, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,4
meal_id137,cheese baida roti r,roti,veg,calcium, obesity, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,7
meal_id138,chicken kothu parotta r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,3
meal_id139,butter chicken kulcha r,kulcha,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,8
meal_id140,masala cheese toast r,cheese,veg,calcium, obesity, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,3
meal_id141,chicken mayo sandwich r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,2
meal_id142,2 ways chicken salami sandwich r,chicken,non-veg,iron, obesity heart_disease goitre eye_disease rickets scurvy hypertension kidney_disease diabeties anemia cancer pregnancy, alkaline_diet high_fiber_diet high_protien_diet paleo_diet ketogenic_diet vegan_diet low_fat_diet,8
meal_id143,grilled chicken sandwich r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,8
meal_id144,steam bunny chicken bao r,bao,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,5
meal_id145,spicy grilled chicken r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,2
meal_id146,teriyaki chicken wings r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,1
meal_id40,sliced garlic chicken r,chicken,non-veg,iron, obesity heart_disease goitre rickets scurvy hypertension kidney_disease diabeties anemia cancer pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,10
meal_id147,chicken involtini r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,2
meal_id148,salmon and avocado tartare passion fruit emulsion r,salmon,non-veg,calcium, obesity heart_disease goitre eye_disease rickets scurvy hypertension diabeties anemia pregnancy, high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,10
meal_id149,strawberry basil feta salad r,salad,veg,fiber, goitre rickets scurvy diabeties kidney_disease pregnancy, ketogenic_diet high_protien_diet low_fat_diet high_fiber_diet,4
meal_id150,choco cookie ice cream sandwich r,cookie,veg,protien, goitre cancer, ketogenic_diet vegan_diet high_fiber_diet,9
meal_id151,lemon chicken tikka r,tikka,non-veg,iron, obesity goitre rickets scurvy hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,1
meal_id42,chicken keema matar r,matar,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,1
meal_id152,air fryer cheesy malai broccoli r,malai,veg,vitamin_c, obesity goitre scurvy hypertension diabeties, high_protien_diet alkaline_diet high_fiber_diet,5
meal_id153,keto chilli garlic paneer r,paneer,veg,phosphorus, heart_disease goitre diabeties kidney_disease cancer, ketogenic_diet vegan_diet alkaline_diet low_fat_diet,5
meal_id154,crispy chicken tortilla balls r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,10
meal_id155,air fryer tandoori fish tikka r,tikka,non-veg,vitamin_a, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia cancer pregnancy, ketogenic_diet vegan_diet alkaline_diet low_fat_diet,5
meal_id156,cashew egg curry r,curry,non-veg,vitamin_a, obesity eye_disease goitre rickets hypertension diabeties kidney_disease pregnancy, ketogenic_diet high_protien_diet low_fat_diet,8
